Category,Item Name,Range,Calories,Calories from Fat,Total Fat (g),Sat Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Sugar (g),Protein (g),,
Pancakes & Waffles,Waffle Sandwich,,730,460,51,27,0,525,1130,32,1,1,34,,
Pancakes & Waffles,Sweet Trio,,1340,390,44,22,0,380,1170,208,9,104,26,,
French Toast & Crepes,Tiki Toast,,990,340,38,25,0,455,600,138,8,70,24,,
French Toast & Crepes,Crunchy French Toast,,1790,580,64,23,0,680,1460,252,15,84,47,,
French Toast & Crepes,Stuffed French Toast,,1230,600,67,39,"1,5",565,700,128,7,41,29,,
French Toast & Crepes,Classic French Toast,,960,330,37,19,0,650,900,118,7,26,33,,
French Toast & Crepes,Banana Nutella Crepes,,900,350,39,15,0,100,720,125,7,76,15,,
French Toast & Crepes,Strawberry Nutella Crepes,,810,350,39,15,0,100,720,102,5,64,14,,
French Toast & Crepes,Savory Crepes,,1280,720,80,44,"0,5",355,2380,56,3,11,96,,
Create a Combo,Sausage Links (2),,250,225,25,9,0,40,430,0,0,1,7,,
Create a Combo,Sausage Patty (2),,460,400,44,16,0,90,760,0,0,0,18,,
Create a Combo,Bacon (2),,60,40,5,2,0,10,130,0,0,0,1,,
Create a Combo,Applewood Smoked Bacon (2),,260,54,6,2,0,10,130,0,0,0,2,,
Create a Combo,Scrambled or Fried Eggs (2),,170,110,12,5,0,370,140,1,0,0,13,,
Create a Combo,Poached or Boiled Eggs (2),,140,90,10,3,0,370,140,1,0,0,13,,
Burgers,Old Reliable,,1210,700,78,30,"1,5",225,2940,66,3,10,63,,
Burgers,Add Avocado,,160,130,15,2,0,0,5,9,7,1,2,,
Burgers,Add Applewood Bacon,,60,40,5,2,0,10,130,0,0,0,1,,
Burgers,Good Morning Burger,,1360,810,90,35,"1,5",600,2140,58,3,8,74,,
Burgers,Wild West Burger,,1430,750,83,31,"1,5",225,2790,105,4,41,63,,
Burgers,Sub Chicken Breast,,-180,-205,-22,-10,-1,-17,-12,0,0,0,-4,,
Sandwiches,Club Sandwich (Rye),,940,340,38,7,0,115,3470,102,8,11,51,,
Sandwiches,Club Sandwich (Sourdough),,940,300,33,7,0,115,3350,105,5,5,54,,
Sandwiches,Club Sandwich (White),,910,290,32,7,0,115,3620,102,5,8,51,,
Sandwiches,Club Sandwich (Whole Wheat),,850,310,35,7,0,115,3260,87,11,14,51,,
Sandwiches,B.L.T. (Rye),,640,330,36,8,0,40,1540,61,6,5,15,,
Sandwiches,B.L.T. (Sourdough),,640,300,33,8,0,40,1460,63,4,1,17,,
Sandwiches,B.L.T. (White),,620,290,32,8,0,40,1640,61,4,3,15,,
Sandwiches,B.L.T. (Whole Wheat),,580,310,34,8,0,40,1400,51,8,7,15,,
Sandwiches,Add Avocado,,160,130,15,2,0,0,5,9,7,1,2,,
Sandwiches,Chicken Caesar Wrap ,,752,265,29,9,0.12,138,1911,60,6,3,60,,
Sandwiches,Add Fried Eggs (2),,170,110,12,5,0,370,140,1,0,0,13,,
Sandwiches,Tuna Melt,,940,470,52,18,0,140,2120,62,3,0,59,,
Sandwiches,Southern Chicken Wrap,,1020,430,48,10,0,130,1790,88,17,5,61,,
Sandwiches,Buffalo Chicken Wrap,,1110,520,58,10,0,130,3590,93,8,4,55,,
Sandwiches,Crispy Chicken Sandwich,,1040,400,44,9,0,95,2460,123,5,39,38,,
Fresh Soups & Salads,"Caesar Salad (Half, no dressing)",,230,170,19,5,0,20,730,10,3,3,7,,
Fresh Soups & Salads,Grilled Chicken Caesar Salad (incl. dressing),,710,390,44,12,0,165,1650,22,5,6,58,,
Fresh Soups & Salads,Very Berry Salad (incl. raspberry vinaigrette),,940,680,76,18,0,60,420,42,5,30,26,,
Fresh Soups & Salads,Very Berry Salad Half (incl. raspberry vinaigrette),,530,400,44,10,0,30,260,24,2,18,14,,
Fresh Soups & Salads,House Salad (no dressing),,70,15,2,1,0,5,250,12,3,6,3,,
Fresh Soups & Salads,Greek Salad (incl. balsamic vinaigrette),,280,190,22,8,0,30,1060,14,5,6,9,,
Fresh Soups & Salads,Chicken Veggie Soup (Bowl),,210,70,8,"4,5",0,65,610,14,3,6,21,,
Fresh Soups & Salads,Chicken Veggie Soup (Cup),,110,35,4,2,0,30,310,7,2,3,10,,
Fresh Soups & Salads,Tomato Basil Soup (Bowl),,300,200,22,6,0,35,870,20,2,16,3,,
Fresh Soups & Salads,Tomato Basil Soup (Cup),,210,140,15,"4,5",0,25,600,14,1,11,2,,
Soup Salad Sandwich Combo,B.L.T. Half (Rye),,320,160,18,4,0,20,510,30,2,3,7,,
Soup Salad Sandwich Combo,B.L.T. Half (Sourdough),,320,150,17,4,0,20,470,31,1,1,8,,
Soup Salad Sandwich Combo,B.L.T. Half (White),,310,150,16,4,0,20,560,30,1,2,7,,
Soup Salad Sandwich Combo,B.L.T. Half (Whole Wheat),,290,150,17,4,0,20,440,25,3,4,7,,
Soup Salad Sandwich Combo,Tuna Sandwich Half (Rye),,340,140,16,"2,5",0,35,620,31,3,3,20,,
Soup Salad Sandwich Combo,Tuna Sandwich Half (Sourdough),,340,130,14,"2,5",0,35,580,32,2,1,21,,
Soup Salad Sandwich Combo,Tuna Sandwich Half (White),,330,120,14,"2,5",0,35,670,31,2,2,20,,
Soup Salad Sandwich Combo,Tuna Sandwich Half (Whole Wheat),,310,130,15,"2,5",0,35,550,26,4,4,20,,
Soup Salad Sandwich Combo,Turkey Sandwich Half (Rye),,320,130,14,2,0,40,1010,35,2,4,17,,
Soup Salad Sandwich Combo,Turkey Sandwich Half (Sourdough),,320,110,12,2,0,40,970,36,1,2,18,,
Soup Salad Sandwich Combo,Turkey Sandwich Half (White),,310,110,12,2,0,40,1060,35,1,3,17,,
Soup Salad Sandwich Combo,Turkey Sandwich Half (Whole Wheat),,290,120,13,2,0,40,940,30,3,5,17,,
Soup Salad Sandwich Combo,Grilled Cheese Half (Rye),,460,250,28,15,0,70,1670,38,2,5,19,,
Soup Salad Sandwich Combo,Grilled Cheese Half (Sourdough),,460,230,26,15,0,70,1630,39,1,3,20,,
Soup Salad Sandwich Combo,Grilled Cheese Half (White),,450,230,26,15,0,70,1720,38,1,4,19,,
Soup Salad Sandwich Combo,Grilled Cheese Half (Whole Wheat),,430,240,27,1,0,70,1600,33,3,6,19,,
Soup Salad Sandwich Combo,"Caesar Salad (Half, no dressing)",,230,170,19,5,0,20,730,10,3,3,7,,
Soup Salad Sandwich Combo,Very Berry Salad Half (incl. raspberry vinaigrette),,530,400,44,10,0,30,260,24,2,18,14,,
Soup Salad Sandwich Combo,Chicken Veggie Soup (Cup),,110,35,4,2,0,30,310,7,2,3,10,,
Soup Salad Sandwich Combo,Tomato Basil Soup (Cup),,210,140,15,15,0,25,600,14,1,11,2,,
Beverages,"Orange, Apple, or Grapefruit Juice (Glass)",,170,5,"0,5",0,0,0,0,39,1,31,3,,
Beverages,Orange Juice (Half Carafe),,240,10,1,0,0,0,5,55,1,44,4,,
Beverages,Orange Juice (Carafe),,470,20,2,0,0,0,10,109,2,88,7,,
Beverages,Apple Juice (Glass),,170,5,0,0,0,0,15,42,1,36,0,,
Beverages,Apple Juice (Half Carafe),,240,10,1,0,0,0,30,55,5,38,4,,
Beverages,Apple Juice (Carafe),,480,10,"1,5",0,0,0,40,118,2,101,1,,
Beverages,Grapefruit Juice (Glass),,130,5,0,0,0,0,10,29,3,26,2,,
Beverages,Grapefruit Juice (Half Carafe),,180,5,"0,5",0,0,0,15,41,4,37,3,,
Beverages,Grapefruit Juice (Carafe),,350,10,1,0,0,0,30,83,8,75,6,,
Beverages,Lemonade (Glass),,200,0,0,0,0,0,15,50,0,44,0,,
Beverages,Lemonade (Half Carafe),,270,0,0,0,0,0,20,70,0,61,0,,
Beverages,Lemonade (Carafe),,550,0,0,0,0,0,40,139,0,123,0,,
Beverages,Pomegranate Juice (Glass),,200,10,1,0,0,0,35,49,0,48,1,,
Beverages,Pomegranate Juice (Half Carafe),,290,15,"1,5",0,0,0,50,70,1,67,1,,
Beverages,Pomegranate Juice (Carafe),,570,30,3,1,0,0,95,139,1,134,2,,
